Date,Open,High,Low,Close,Adj Close,Volume,BTC-USDreturn
"Nov 29, 2023",37826.11,"38,356.73","37,706.98",38237.84,"38,237.84","23,391,942,656",1.0884809460978035
"Nov 28, 2023",37247.99,"38,368.48","36,891.09",37831.09,"37,831.09","21,696,137,014",1.5654535989727194
"Nov 27, 2023",37454.19,"37,559.36","36,750.13",37254.17,"37,254.17","19,002,925,720",-0.5340390487686533
"Nov 26, 2023",37796.83,"37,820.30","37,162.75",37479.12,"37,479.12","13,744,796,068",-0.8405731380118362
"Nov 25, 2023",37721.41,"37,892.43","37,617.42",37796.79,"37,796.79","9,099,571,165",0.19983346327721413
"Nov 24, 2023",37296.32,"38,415.34","37,261.61",37720.28,"37,720.28","22,922,957,823",1.1367341335552652
"Nov 23, 2023",37420.43,"37,643.92","36,923.86",37289.62,"37,289.62","14,214,948,217",-0.3495684042112762
"Nov 22, 2023",35756.55,"37,856.98","35,670.97",37432.34,"37,432.34","24,397,247,860",4.6866657996926255
"Nov 21, 2023",37469.16,"37,631.14","35,813.81",35813.81,"35,813.81","25,172,163,756",-4.4178999475835745
"Nov 20, 2023",37374.07,"37,756.82","36,882.53",37476.96,"37,476.96","20,888,209,068",0.27529782011966963
"Nov 19, 2023",36585.77,"37,509.36","36,414.60",37386.55,"37,386.55","12,915,986,553",2.188774488004506
"Nov 18, 2023",36625.37,"36,839.28","36,233.31",36585.7,"36,585.70","11,886,022,717",-0.10831289895502907
"Nov 17, 2023",36164.82,"36,704.48","35,901.23",36596.68,"36,596.68","22,445,028,430",1.1941439221873649
"Nov 16, 2023",37879.98,"37,934.63","35,545.47",36154.77,"36,154.77","26,007,385,366",-4.5544110635750235
"Nov 15, 2023",35548.11,"37,964.89","35,383.78",37880.58,"37,880.58","27,365,821,679",6.561445882776893
"Nov 14, 2023",36491.79,"36,753.35","34,948.50",35537.64,"35,537.64","23,857,403,554",-2.614697716938526
"Nov 13, 2023",37070.3,"37,405.12","36,399.61",36502.36,"36,502.36","19,057,712,790",-1.5320620550683495
"Nov 12, 2023",37133.99,"37,227.69","36,779.12",37054.52,"37,054.52","11,545,715,999",-0.2140087827890328
"Nov 11, 2023",37310.07,"37,407.09","36,773.67",37138.05,"37,138.05","13,924,272,142",-0.4610551521345224
"Nov 10, 2023",36702.25,"37,493.80","36,362.75",37313.97,"37,313.97","22,711,265,155",1.6667098066194885
"Nov 09, 2023",35633.63,"37,926.26","35,592.10",36693.13,"36,693.13","37,762,672,382",2.9733148152461597
"Nov 08, 2023",35419.48,"35,994.42","35,147.80",35655.28,"35,655.28","17,295,394,918",0.665735352410582
"Nov 07, 2023",35047.79,"35,892.42","34,545.82",35443.56,"35,443.56","18,834,737,789",1.1292295462852202
"Nov 06, 2023",35044.79,"35,286.03","34,765.36",35037.37,"35,037.37","12,693,436,420",-0.021172904731340245
"Nov 05, 2023",35090.01,"35,340.34","34,594.24",35049.36,"35,049.36","12,412,743,996",-0.11584493706328797
"Nov 04, 2023",34736.32,"35,256.03","34,616.69",35082.2,"35,082.20","9,561,294,264",0.9957301176405485
"Nov 03, 2023",34942.47,"34,942.47","34,133.44",34732.32,"34,732.32","17,158,456,701",-0.6014171293557709
"Nov 02, 2023",35441.58,"35,919.84","34,401.57",34938.24,"34,938.24","20,998,158,544",-1.4201962779311863
"Nov 01, 2023",34657.27,"35,527.93","34,170.69",35437.25,"35,437.25","22,446,272,005",2.2505523372152605
"Oct 31, 2023",34500.08,"34,719.25","34,083.31",34667.78,"34,667.78","15,758,270,810",0.48608582936618433
"Oct 30, 2023",34531.74,"34,843.93","34,110.97",34502.36,"34,502.36","17,184,860,315",-0.08508114563586248
"Oct 29, 2023",34089.37,"34,743.26","33,947.57",34538.48,"34,538.48","11,160,323,986",1.3174488117556897
"Oct 28, 2023",33907.72,"34,399.39","33,874.80",34089.57,"34,089.57","10,160,330,825",0.5363085456645229
"Oct 27, 2023",34156.5,"34,238.21","33,416.89",33909.8,"33,909.80","16,418,032,871",-0.7222636979784143
"Oct 26, 2023",34504.29,"34,832.91","33,762.32",34156.65,"34,156.65","19,427,195,376",-1.0075268901345293
"Oct 25, 2023",33916.04,"35,133.76","33,709.11",34502.82,"34,502.82","25,254,318,008",1.7300958484540025
"Oct 24, 2023",33077.3,"35,150.43","32,880.76",33901.53,"33,901.53","44,934,999,645",2.4918297442656923
"Oct 23, 2023",30140.69,"34,370.44","30,097.83",33086.23,"33,086.23","38,363,572,311",9.77263626015199
"Oct 22, 2023",29918.65,"30,199.43","29,720.31",29993.9,"29,993.90","10,446,520,040",0.25151535914889206
"Oct 21, 2023",29683.38,"30,287.48","29,481.75",29918.41,"29,918.41","11,541,146,996",0.7917898837666021
"Oct 20, 2023",28732.81,"30,104.09","28,601.67",29682.95,"29,682.95","21,536,125,230",3.30681196861706
"Oct 19, 2023",28332.42,"28,892.47","28,177.99",28719.81,"28,719.81","14,448,058,195",1.367302898940518
"Oct 18, 2023",28413.53,"28,889.01","28,174.25",28328.34,"28,328.34","12,724,128,586",-0.2998219510212166
"Oct 17, 2023",28522.1,"28,618.75","28,110.19",28415.75,"28,415.75","14,872,527,508",-0.3728687579105275
"Oct 16, 2023",27162.63,"29,448.14","27,130.47",28519.47,"28,519.47","27,833,876,539",4.9952453057748825
"Oct 15, 2023",26858.01,"27,289.17","26,817.89",27159.65,"27,159.65","7,098,201,980",1.1230913980596593
