Date,Open,High,Low,Close,Adj Close,Volume,ETH-USDreturn
"Nov 29, 2023",2049.19,"2,071.68","2,041.73",2068.3,"2,068.30","9,950,334,976",0.9325635982998222
"Nov 28, 2023",2027.52,"2,074.95","1,996.81",2049.34,"2,049.34","9,910,633,038",1.0761916035353616
"Nov 27, 2023",2062.39,"2,070.61","1,988.12",2027.42,"2,027.42","10,574,810,069",-1.6956055838129451
"Nov 26, 2023",2084.18,"2,094.10","2,038.60",2063.29,"2,063.29","8,054,814,154",-1.002312660134915
"Nov 25, 2023",2081.3,"2,091.34","2,067.92",2084.41,"2,084.41","5,362,623,390",0.14942583961945285
"Nov 24, 2023",2062.41,"2,132.48","2,061.00",2081.15,"2,081.15","12,141,148,820",0.9086457106007165
"Nov 23, 2023",2063.91,"2,088.03","2,041.46",2062.21,"2,062.21","7,828,437,946",-0.08236793271023533
"Nov 22, 2023",1933.58,"2,089.51","1,933.16",2064.43,"2,064.43","13,372,200,584",6.767240041787767
"Nov 21, 2023",2022.22,"2,035.04","1,937.07",1937.07,"1,937.07","13,653,500,841",-4.210718912877931
"Nov 20, 2023",2011.85,"2,066.41","1,996.04",2022.24,"2,022.24","12,866,464,824",0.5164400924522256
"Nov 19, 2023",1963.18,"2,015.63","1,944.90",2013.2,"2,013.20","7,716,048,818",2.5479069672673917
"Nov 18, 2023",1961.67,"1,971.46","1,921.06",1963.29,"1,963.29","8,064,677,046",0.08258269739558084
"Nov 17, 2023",1961.87,"1,990.05","1,910.45",1961.28,"1,961.28","11,881,648,738",-0.030073348386993947
"Nov 16, 2023",2059.97,"2,088.66","1,940.57",1960.88,"1,960.88","14,651,619,483",-4.810264227148924
"Nov 15, 2023",1979.47,"2,061.99","1,968.77",2060.41,"2,060.41","12,626,326,991",4.088973311037794
"Nov 14, 2023",2054.77,"2,065.07","1,939.28",1979.05,"1,979.05","13,087,862,495",-3.6850839753354405
"Nov 13, 2023",2045.35,"2,116.01","2,031.95",2055.27,"2,055.27","14,322,027,970",0.48500256679786213
"Nov 12, 2023",2053.12,"2,066.00","2,019.03",2045.19,"2,045.19","7,951,011,698",-0.38624142768079006
"Nov 11, 2023",2078.06,"2,089.53","2,035.08",2052.71,"2,052.71","10,228,351,203",-1.2198877799486016
"Nov 10, 2023",2121.07,"2,134.69","2,068.13",2078.29,"2,078.29","14,740,624,457",-2.0169065613110457
"Nov 09, 2023",1888.94,"2,130.89","1,884.20",2120.56,"2,120.56","24,709,695,029",12.261903501434661
"Nov 08, 2023",1887.12,"1,904.55","1,874.55",1889.32,"1,889.32","6,751,627,017",0.11657976175336203
"Nov 07, 2023",1900.6,"1,907.56","1,852.79",1888.12,"1,888.12","9,203,228,152",-0.6566347469220256
"Nov 06, 2023",1894.03,"1,914.58","1,871.97",1899.84,"1,899.84","8,104,122,602",0.3067533249209329
"Nov 05, 2023",1857.4,"1,911.61","1,848.62",1894.16,"1,894.16","8,867,152,645",1.9791105846882733
"Nov 04, 2023",1833.37,"1,867.26","1,825.74",1857.7,"1,857.70","4,845,080,427",1.3270643678035616
"Nov 03, 2023",1800.92,"1,835.07","1,779.64",1832.8,"1,832.80","7,622,864,055",1.7702063389822915
"Nov 02, 2023",1847.26,"1,873.89","1,790.11",1800.62,"1,800.62","9,004,197,724",-2.5248205450234456
"Nov 01, 2023",1815.87,"1,858.31","1,786.41",1847.09,"1,847.09","10,628,825,648",1.7192860722408558
"Oct 31, 2023",1810.13,"1,819.97","1,784.57",1816.46,"1,816.46","6,477,922,747",0.3496986404291364
"Oct 30, 2023",1795.59,"1,829.25","1,779.36",1810.09,"1,810.09","7,534,051,038",0.807534013889585
"Oct 29, 2023",1776.56,"1,810.49","1,766.05",1795.55,"1,795.55","4,358,528,382",1.0689197100013514
"Oct 28, 2023",1780.08,"1,800.61","1,773.44",1776.62,"1,776.62","4,226,112,731",-0.194373286593863
"Oct 27, 2023",1803.79,"1,804.14","1,751.44",1780.05,"1,780.05","7,493,399,771",-1.3161177298909523
"Oct 26, 2023",1787.48,"1,865.10","1,764.01",1804.04,"1,804.04","11,196,672,635",0.9264439322397983
